"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"3488","Normal/Others","WS/MP351/2025-2026/232230-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Muzhakunnu-GP-Ward-03","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3489","Normal/Others","WS/MP351/2025-2026/232231-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Muzhakunnu-GP-Ward-15","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3490","Normal/Others","WS/MP351/2025-2026/232232-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Vengad-GP-Ward-12","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3491","Normal/Others","WS/MP351/2025-2026/232233-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Vengad-GP-Ward-14","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3492","Normal/Others","WS/MP351/2025-2026/232234-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Payam-GP-Ward-04","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3493","Normal/Others","WS/MP351/2025-2026/232238-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Payam-GP-Ward-06","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3494","Normal/Others","WS/MP351/2025-2026/232239-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Payam-GP-Ward-06","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3495","Normal/Others","WS/MP351/2025-2026/232240-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Ullikkal-GP-Ward-06","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3496","Normal/Others","WS/MP351/2025-2026/232241-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Chengalai-GP-Ward-15","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3497","Normal/Others","WS/MP351/2025-2026/232242-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Chengalai-GP-Ward-18","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3498","Normal/Others","WS/MP351/2025-2026/232243-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Payam-GP-Ward-02","Shri Kumbakudi Sudhakaran","KANNUR","12-Feb-2026","Images","N/A","1,10,000"
"3499","Normal/Others","WS/MP18162/2025-2026/232286-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","JOY E-Bike Gen-Next Nanu Eco E-Scooty for specially abled Shri AKSHIT BANGAR SO PARMESHWAR BANGAR","DAMODAR AGARWAL","BHILWARA","10-Jan-2026","N/A","N/A","95,000"
"3500","Normal/Others","WS/MP18162/2025-2026/232287-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","JOY E-Bike Gen-Next Nanu Eco E-Scooty for specially abled Shri MANOJ TAILOR SO RAMSWAROOP TAILOR","DAMODAR AGARWAL","BHILWARA","10-Jan-2026","N/A","N/A","95,000"
"3501","Normal/Others","WS/MP18162/2025-2026/232288-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","JOY E-Bike Gen-Next Nanu Eco E-Scooty for specially abled Shri KALU SINGH SO GOVING SINGH","DAMODAR AGARWAL","BHILWARA","10-Jan-2026","N/A","N/A","95,000"
"3502","Normal/Others","WS/MP18162/2025-2026/232289-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","JOY E-Bike Gen-Next Nanu Eco E-Scooty for specially abled Shri RAJU BHAMBHI SO HEERA LAL BHAMBI","DAMODAR AGARWAL","BHILWARA","10-Jan-2026","N/A","N/A","95,000"
"3503","Normal/Others","WS/MP18162/2025-2026/232290-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","JOY E-Bike Gen-Next Nanu Eco E-Scooty for specially abled Shri SANDEEP KUMAR JAIN SO KALU RAM JAIN","DAMODAR AGARWAL","BHILWARA","10-Jan-2026","N/A","N/A","95,000"
"3504","Normal/Others","WS/MP351/2025-2026/232397-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Kannur Corporation Division-08","Shri Kumbakudi Sudhakaran","KANNUR","10-Feb-2026","Images","N/A","1,10,000"
"3505","Normal/Others","WS/MP351/2025-2026/232398-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Chirakkal-Ward-14","Shri Kumbakudi Sudhakaran","KANNUR","10-Feb-2026","Images","N/A","1,10,000"
"3506","Normal/Others","WS/MP351/2025-2026/232399-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Mangattidam-ward-05","Shri Kumbakudi Sudhakaran","KANNUR","10-Feb-2026","Images","N/A","1,10,000"
"3507","Normal/Others","WS/MP351/2025-2026/232401-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Mattannur Municipality-ward-04","Shri Kumbakudi Sudhakaran","KANNUR","10-Feb-2026","Images","N/A","1,10,000"
"3508","Normal/Others","WS/MP351/2025-2026/232402-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of Electronic Wheel Chair for Physically Challenged Person-Mattannur Municipality-ward-32","Shri Kumbakudi Sudhakaran","KANNUR","10-Feb-2026","Images","N/A","1,10,000"
"3509","Normal/Others","WS/MP350/2025-2026/232784-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Karyakkad, Kanayi (Ward No-10) in Payyannur Muncipality, Kannur Dist","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3510","Normal/Others","WS/MP350/2025-2026/232785-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Thayineri, Payyannur (Ward No-33) in Payyannur Muncipality, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3511","Normal/Others","WS/MP350/2025-2026/232795-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Ettukudukka, Alapadamba (Ward No-1) in Kankol Alapadamba Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3512","Normal/Others","WS/MP350/2025-2026/232796-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Puthiyangadi, Madayi (Ward No-14) in Madayi Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3513","Normal/Others","WS/MP350/2025-2026/232797-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Mattool North (Ward No-15) in Mattool Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3514","Normal/Others","WS/MP350/2025-2026/232798-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Thenna, Eriyam - PO  in Panppuzha Village, (Ward No-7) Kadannappally Panppuzha Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3515","Normal/Others","WS/MP350/2025-2026/232799-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Parakkadavu, Anchampeedika- PO  Kalyasseri Village, (Ward No-5) Kalyasseri Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3516","Normal/Others","WS/MP350/2025-2026/232800-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Santhinilayam Convent area, Pilathara - PO, Cheruthazham Village, (Ward No-16) in Cheruthazham Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3517","Normal/Others","WS/MP350/2025-2026/232801-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase and Supply of One Electronic Electric Wheel Chair for a beneficiary at Vengara,  Madayi Village, (Ward No-20) in Madayi Grama Panchayath, Kannur Dist.","Shri Rajmohan Unnithan","KASARAGOD","10-Feb-2026","Images","N/A","1,10,000"
"3518","Normal/Others","WS/MP18352/2025-2026/251224-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Uttar Pradesh","MAU(DISTRICT MAGISTRATE MAU_IDA)","divyangjano ke liya 51 motorized tricycle","RAJEEV RAI","GHOSI","08-Jan-2026","Images","N/A","22,95,000"
"3519","Normal/Others","WS/MP18137/2025-2026/158695-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Meghalaya","EAST JAINTIA HILLS(DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA)","Financial assistance for construction of Hostel for PWD's by Ephatha Society","ANDREW J. SYNGKON","SHILLONG","27-Feb-2026","Images","N/A","5,00,000"
"3520","Normal/Others","WS/MP18263/2024-2025/165686-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","udupi District, Kundapura taluk, koni Grama Panchayath, Koni Village, three wheeler vehicle for Pushpalatha shetty","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","13-Jan-2026","Images","N/A","96,499"
"3521","Normal/Others","WS/MP529/2024-2025/169816-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Left above Knee Hi-Tech Modular Prosthesis for V Subbarayulu, resident of Inagalur Village of Srikalahasthi Mandal.","Maddila Gurumoorthy","TIRUPATI(SC)","21-Oct-2025","Images","N/A","5,70,000"
"3522","Normal/Others","WS/MP524/2025-2026/180607-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing Two Artificial Hands to Mr Devendra, Regallu V and G P","Midhun Reddy","RAJAMPET","18-Jul-2025","Images","N/A","6,35,000"
"3523","Normal/Others","WS/MP18394/2025-2026/180815-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","purchase of hearing aid in R. Saisubikshan, a resident of Thummangurichi area, Selvam Nagar","V S Matheswaran","NAMAKKAL","10-Jun-2025","Images","N/A","5,77,000"
"3524","Normal/Others","WS/MP524/2025-2026/200798-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing Three Wheel Motorised to A Nageswara Rao, Kothamalakuntapalli (V), Galivaripalli (G.P) Mobile Number 9573199443","Midhun Reddy","RAJAMPET","02-Aug-2025","Images","N/A","90,000"
"3525","Normal/Others","WS/MP524/2025-2026/200841-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing Artificial Leg to Eswaraiah, Adavikammapalli (V)Settipalli G.P Mobile Number 9346259757","Midhun Reddy","RAJAMPET","02-Aug-2025","Images","N/A","75,000"
"3526","Normal/Others","WS/MP524/2025-2026/215294-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing Motorised Try Electric Scooter to Y Ramakrishna Reddy, Pyarampalli Village Contact Number 9490842706 ( BMR Group Electric Scooter)","Midhun Reddy","RAJAMPET","31-Dec-2025","Images","N/A","90,000"
"3527","Normal/Others","WS/MP524/2025-2026/241949-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing BMR Group Try Motorised Electric Scooter to Shaik Phool Shabeer Hussain, Mahal G.P","Midhun Reddy","RAJAMPET","19-Feb-2026","N/A","N/A","90,000"
"3528","Normal/Others","WS/MP524/2025-2026/245218-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing Try Motorised BMR Group Electric Scooter to Karasala Janardhan, Kalpanayunicheruvu Village and GP","Midhun Reddy","RAJAMPET","27-Feb-2026","Images","N/A","90,000"
"3529","Normal/Others","WS/MP331/2025-2026/250159-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Dedication of Power Supply Unit of CPAP Machine to Sh Mohan Koul Ro 54 Ward No 46 Subash Nagar Digiana Jammu","Shri Jugal Kishore Sharma","JAMMU","28-Jan-2026","N/A","N/A","8,448"
"3530","Normal/Others","WS/MP18032/2024-2025/134038-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of new submersible and a room at north side of shankar ji ka talab Mahuwar village","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","9,91,583"
"3531","Normal/Others","WS/MP18032/2024-2025/136940-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","N/A","SUDHAKAR SINGH","BUXAR","23-Aug-2025","Images","N/A","2,79,921"
"3532","Normal/Others","WS/MP18032/2024-2025/136946-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Install Tube-well beside Shankar Ji temple at Imlia","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","2,30,847"
"3533","Normal/Others","WS/MP18032/2024-2025/137009-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","N/A","SUDHAKAR SINGH","BUXAR","23-Aug-2025","N/A","N/A","2,31,640"
"3534","Normal/Others","WS/MP18032/2024-2025/137010-Installing tube-wells and borewells","Bihar","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","N/A","SUDHAKAR SINGH","BUXAR","21-Jun-2025","N/A","N/A","1,83,187"
"3535","Normal/Others","WS/MP673/2024-2025/139059-Installing tube-wells and borewells","Maharashtra","SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA)","Installing tube-wells and borewells","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","23-Jan-2026","N/A","N/A","2,99,942"
"3536","Normal/Others","WS/MP18152/2024-2025/140029-Installing tube-wells and borewells","Punjab","MOGA(Deputy Commissioner Moga)","Installing of Borewell and Submersible Pump at cremation ground","SARABJEET SINGH KHALSA","FARIDKOT(SC)","25-Aug-2025","Images","N/A","1,00,000"
"3537","Normal/Others","WS/MP829/2024-2025/141021-Installing tube-wells and borewells","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Sinking of Tubewell at Shibpur Mallick para near the house of Sasanka Mallick","Smt Sajda Ahmed","ULUBERIA","27-Aug-2025","N/A","N/A","1,29,883"
"3538","Normal/Others","WS/MP829/2024-2025/141022-Installing tube-wells and borewells","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Sinking of Tube well at Uttar Malancha Beria near the house of Bhupal Mandal","Smt Sajda Ahmed","ULUBERIA","12-Mar-2026","Images","N/A","1,29,870"
"3539","Normal/Others","WS/MP18314/2024-2025/141411-Installing tube-wells and borewells","Punjab","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","Installation of Submersible Motor Drinking Water Qilla Patti,Sansi Mohalla,(W.no 7 (old) 4(new) Handaiya NP Handaiya","GURMEET SINGH MEET HAYER","SANGRUR","05-Feb-2026","Images","N/A","70,875"
"3540","Normal/Others","WS/MP18314/2024-2025/141413-Installing tube-wells and borewells","Punjab","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","Installation of Submersible Motor Drinking W.no 2 Jiwan Singh Nagar Near Gaja Chokidar House Handaiya","GURMEET SINGH MEET HAYER","SANGRUR","05-Feb-2026","Images","N/A","70,875"
"3541","Normal/Others","WS/MP18253/2024-2025/141434-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Shibkalinagar Majherpara near Pradip Halder house.Dag No-153,JL No-6","BAPI HALDAR","MATHURAPUR(SC)","06-Dec-2024","N/A","N/A","2,21,109"
"3542","Normal/Others","WS/MP18253/2024-2025/141435-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Ramtanunagar near Aila Bandh Toto Stand.Dag No-1317,JL No-3","BAPI HALDAR","MATHURAPUR(SC)","16-Nov-2024","N/A","N/A","2,21,248"
"3543","Normal/Others","WS/MP18253/2024-2025/141438-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Sitarampur near Rabindranath Jana house.Dag No-826,JL No-7","BAPI HALDAR","MATHURAPUR(SC)","07-Dec-2024","N/A","N/A","2,21,021"
"3544","Normal/Others","WS/MP18253/2024-2025/141439-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Srinagar-Madhabnagar near Tapas Bar house.Dag No-4055,JL No-9","BAPI HALDAR","MATHURAPUR(SC)","02-Dec-2024","N/A","N/A","2,20,912"
"3545","Normal/Others","WS/MP18253/2024-2025/141440-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Kashinagar near Tapas Santra house.Dag No-220,JL No-9","BAPI HALDAR","MATHURAPUR(SC)","27-Feb-2025","N/A","N/A","2,18,265"
"3546","Normal/Others","WS/MP18253/2024-2025/141441-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Shibnagar Sankiberia near Bhisma Halder house.Dag No-80,JL No-23","BAPI HALDAR","MATHURAPUR(SC)","13-Mar-2025","Images","N/A","2,20,141"
"3547","Normal/Others","WS/MP18253/2024-2025/141442-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Manik Thakurchak near Hamid Molla house.Dag No-3608,JL No-25","BAPI HALDAR","MATHURAPUR(SC)","26-Nov-2024","N/A","N/A","2,19,263"
"3548","Normal/Others","WS/MP18253/2024-2025/141443-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Bhubnagar near Monoranjan Kar house.Dag No-2298,JL No-37","BAPI HALDAR","MATHURAPUR(SC)","02-Dec-2024","N/A","N/A","2,21,695"
"3549","Normal/Others","WS/MP18253/2024-2025/141444-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Bamanagar near Akshay Das house.Dag No-517,JL No-35","BAPI HALDAR","MATHURAPUR(SC)","01-Dec-2024","N/A","N/A","2,21,673"
"3550","Normal/Others","WS/MP18253/2024-2025/141445-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Harendranagar near Nirmal Barui house.Dag No-287,JL No-33","BAPI HALDAR","MATHURAPUR(SC)","27-Nov-2024","N/A","N/A","2,21,756"
"3551","Normal/Others","WS/MP18253/2024-2025/141446-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Ramgopalpur near Bimal Patra house.Dag No-887,JL No-29","BAPI HALDAR","MATHURAPUR(SC)","21-Nov-2024","N/A","N/A","2,21,654"
"3552","Normal/Others","WS/MP18253/2024-2025/141447-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Ganeshpur near Sk. Samsur house.Dag No-7299,JL No-11","BAPI HALDAR","MATHURAPUR(SC)","10-Jan-2025","N/A","N/A","2,21,889"
"3553","Normal/Others","WS/MP18253/2024-2025/141449-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Kalinagar near Kalyan Bhunia house.Dag No-881/883,JL No-10","BAPI HALDAR","MATHURAPUR(SC)","02-Dec-2024","N/A","N/A","2,18,137"
"3554","Normal/Others","WS/MP18253/2024-2025/141450-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Kalinagar near Nuruddin Naskar house.Dag No-500,JL No-10","BAPI HALDAR","MATHURAPUR(SC)","12-Mar-2025","N/A","N/A","2,21,468"
"3555","Normal/Others","WS/MP18253/2024-2025/141451-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Taktipur near 12 no Darus Salam Madrasa.Dag No-1086,JL No-15","BAPI HALDAR","MATHURAPUR(SC)","03-Dec-2024","N/A","N/A","2,21,769"
"3556","Normal/Others","WS/MP18253/2024-2025/141452-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Nebutala near Panchanan Maity house.Dag No-2219,JL No-13","BAPI HALDAR","MATHURAPUR(SC)","21-Jan-2025","N/A","N/A","2,20,585"
"3557","Normal/Others","WS/MP18253/2024-2025/141453-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Mrinalnagar near Gopal Ghosh house.Dag No-3909,JL No-28","BAPI HALDAR","MATHURAPUR(SC)","29-Nov-2024","N/A","N/A","2,21,982"
"3558","Normal/Others","WS/MP18253/2024-2025/141454-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Mrinalnagar near Tapati Manna house.Dag No-2818,JL No-28","BAPI HALDAR","MATHURAPUR(SC)","24-Mar-2025","Images","N/A","2,21,350"
"3559","Normal/Others","WS/MP18253/2024-2025/141455-Installing tube-wells and borewells","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Sinking of tubewell at Kakdwip near Bidhan Das house.Dag No-1797,JL No-39","BAPI HALDAR","MATHURAPUR(SC)","03-Dec-2024","N/A","N/A","2,19,101"
